mouth open,eyes squinting,big eyes,furry,menacing,excited,whiskers,pointy ears,big ears,big nose,old age,big animal,suspicious face,spotted,x,y,image_filename,image_url
0.16198327,0.27466294,0.23448944,0.19949,0.2055472,0.18210362,0.25827548,0.28850827,0.20459743,0.19170682,0.1860741,0.12481161,0.25058034,0.1939707,8.789908,6.2434163,animal-20.jpg,http://localhost:9001/static/animals5_remote/images/animal-20.jpg
0.13401745,0.2270853,0.20724086,0.23301733,0.18820171,0.19585633,0.19180997,0.20169078,0.15963785,0.16323514,0.17445947,0.17502344,0.20059872,0.23931581,-0.089553,9.009654,animal-21.jpg,http://localhost:9001/static/animals5_remote/images/animal-21.jpg
0.12887792,0.26108822,0.23635186,0.18212225,0.179568,0.1484284,0.26306757,0.2549597,0.18631643,0.16876459,0.16560812,0.1161631,0.21790273,0.19931014,11.877661,5.3153553,animal-22.jpg,http://localhost:9001/static/animals5_remote/images/animal-22.jpg
0.2482146,0.28330028,0.22069812,0.21156798,0.24065886,0.24928983,0.27191278,0.26420277,0.16523224,0.1975063,0.18302901,0.11575379,0.24242346,0.2025965,6.5187507,5.991208,animal-23.jpg,http://localhost:9001/static/animals5_remote/images/animal-23.jpg
0.13962725,0.20225514,0.18292765,0.1773066,0.1742266,0.15885882,0.15330297,0.17813896,0.1345977,0.17793278,0.21121322,0.17675324,0.18199782,0.19492082,4.2087,-2.8577359,animal-24.jpg,http://localhost:9001/static/animals5_remote/images/animal-24.jpg
0.13071555,0.26662073,0.23834646,0.18571085,0.19257814,0.16152081,0.28035715,0.28721893,0.21320039,0.17872103,0.17232366,0.12171123,0.22175796,0.20184664,9.86105,5.507374,animal-25.jpg,http://localhost:9001/static/animals5_remote/images/animal-25.jpg
0.13624789,0.2570515,0.21461987,0.20655249,0.21771438,0.20249718,0.20651539,0.19480272,0.13380556,0.18943214,0.20999621,0.21864967,0.23991175,0.25704443,-1.837404,9.662478,animal-26.jpg,http://localhost:9001/static/animals5_remote/images/animal-26.jpg
0.17431639,0.22675508,0.19302797,0.21626027,0.20825486,0.21387225,0.18057887,0.22512782,0.16247891,0.17836921,0.19988008,0.18531294,0.20877768,0.19715178,3.188848,0.9644293,animal-27.jpg,http://localhost:9001/static/animals5_remote/images/animal-27.jpg
0.1299041,0.2490745,0.22966452,0.19356067,0.1746152,0.16463746,0.25579122,0.25554803,0.18609442,0.15593871,0.16518271,0.099305905,0.19775385,0.1864658,13.267806,5.1064,animal-28.jpg,http://localhost:9001/static/animals5_remote/images/animal-28.jpg
0.16198164,0.24756497,0.25951907,0.19222564,0.18056245,0.20969148,0.18856926,0.27499613,0.25911734,0.19099768,0.17417635,0.10367721,0.1914547,0.19210291,8.921169,2.4757254,animal-29.jpg,http://localhost:9001/static/animals5_remote/images/animal-29.jpg
0.13639902,0.21738909,0.20453046,0.16390769,0.18167083,0.16551907,0.21689694,0.20615454,0.12876953,0.16613655,0.14543667,0.12735589,0.18319868,0.19346674,15.557278,6.9378395,animal-30.jpg,http://localhost:9001/static/animals5_remote/images/animal-30.jpg
0.14425136,0.2298996,0.21535064,0.2332651,0.19472809,0.17699218,0.19955452,0.24741745,0.2053945,0.1922272,0.21410446,0.17392732,0.2165939,0.20365958,4.4105816,2.7257109,animal-31.jpg,http://localhost:9001/static/animals5_remote/images/animal-31.jpg
0.13187905,0.21869905,0.21693249,0.19041657,0.19065537,0.16048741,0.14516906,0.20482247,0.14707775,0.16806875,0.21664518,0.1563494,0.19812115,0.20291968,4.529936,-2.185539,animal-32.jpg,http://localhost:9001/static/animals5_remote/images/animal-32.jpg
0.1672257,0.20595486,0.17561173,0.18460494,0.19710165,0.20909365,0.14962105,0.2078798,0.16599524,0.19021763,0.19762547,0.15683846,0.15125267,0.17371626,5.038962,-1.624041,animal-33.jpg,http://localhost:9001/static/animals5_remote/images/animal-33.jpg
0.17188407,0.25440368,0.2105357,0.22125097,0.2247975,0.18569167,0.22266619,0.23197027,0.18208031,0.21500604,0.23647946,0.21472992,0.2433929,0.21491162,0.3959353,3.1668308,animal-34.jpg,http://localhost:9001/static/animals5_remote/images/animal-34.jpg
0.14911404,0.2618852,0.23036414,0.21482676,0.2243188,0.1748079,0.2701079,0.2748557,0.20538019,0.19981997,0.22160454,0.15353566,0.26409212,0.22677255,7.817768,8.198392,animal-35.jpg,http://localhost:9001/static/animals5_remote/images/animal-35.jpg
